clean_sw,comment_en,klasifikasi_blob,klasifikasi_bayes
selesai ada hydrogen,done there is hydrogen,Netral,Netral
nah masalah kalau spbu hidrogen pegang pertamina harga jadi bbm sekarang banyak drama kena subsidi energi dan kalau perintah kurang dana akan semena mena tarif,well the problem is if the hydrogen SPBU holds the price of Pertamina so bbm now there are many dramas with energy subsidies and if the order is underfunded it will arbitrarily reduce the tariff,Positif,Positif
jumlah bansos nya berapa tepat sasar blom,the number of bansos is how precise is the target of blom,Positif,Positif
kalau bukti lebih murah banyak pakai kata harga per kilometer nya kali bbm untuk produksi hidrogen tetap perlu bbm kenapa pesawat komersial mesin hidrogen formula hidrogen belum kita tunggu insinyur hasil inovasi produksi hidrogen jauh lebih murah ramah lingkung kita pakai avanza xenia lain bengkel ada seluruhnusantara mungkin lebih dulu wuling byd cherry lain banjir nusantara dan motor murah riah,"if the evidence is cheaper to use the word price per kilometer, the bbm times for hydrogen production still need bbm why do commercial aircraft hydrogen engines hydrogen formulas we have not waited for engineers resulting from hydrogen production innovations are much cheaper environmentally friendly we use avanza xenia other workshops there are all over the archipelago maybe first wuling byd cherry other floods of the archipelago and cheap motorbikes",Positif,Positif
terus alternatif solar apa bu,directly what solar alternative ma'am,Positif,Positif
bbm hidrogen temu pak aryanto misel,hydrogen bbm meet sir aryanto micel,Netral,Netral
negara segera cipta solusi cepat bbm ramah lingkung bisa distribusi tiap desa soal ecer bbm larang ini tolak belakang situasi kondisi jabat atas mungkin pernah rasa nama dorong motor kilo meter,"the state immediately creates a quick solution for environmentally friendly bbm, can the distribution of each village about ecer bbm ban, reject the situation behind the shaking conditions, you may have felt the name of the push of a kilo meter motor",Positif,Positif
lebih percaya hidrogensebagai green alternative,more trust in hydrogens as a green alternative,Positif,Positif
bagus moga indonesia impor minyak kurang defisit anggar apbn,good may indonesia oil import less apbn fencing deficit,Positif,Positif
bagus pertamina moga harga hidrogen nya tidak mahal,good pertamina let's hope the price of hydrogen is not expensive,Positif,Positif
kalau pak ahox bicara yakin tegas nyata maju pak ahox,"if Mr. Ahox speaks, he is sure that he is really going forward, Mr. Ahox",Positif,Positif
mudah mudah tambang hidrogen nya bukan pltd dari alam windmill solar,easy easy hydrogen mine is not pltd from the solar windmill,Positif,Positif
baik mudah mudah hidrogen cepat jual ganti listrik,good easy easy hydrogen quick sell electrical replacement,Positif,Positif
wah selamat,well congratulations,Netral,Netral
hebat pertamina pecah telor bahan bakar hidrogen mudah an spbu hidrogenini banyak bangun banyak tempat,great pertamina broke easy hydrogen fuel eggs an spbu hydrogenini build lots of places,Positif,Positif
wah keren pertamina aku ikut bangga atas capai pertamina terus beinovasi,wow cool pertamina I'm proud of achieving pertamina keep innovating,Positif,Positif
harga hidrogen mahal murah,cheap expensive hydrogen price,Negatif,Negatif
mending beli bahan hidrogen pada beli kendara listrik,making a purchase of hydrogen materials in buying electric vehicles,Netral,Netral
lebih murah ekonomis premium solar,cheaper premium solar economy,Netral,Netral
kendara bahan bakar hidrogen cepat serap masyarakat kalau harga jangkau kalang tengah bawah tuju jadi negara energi bersih cepat capai jangan dan motor harga langit siapa yang sanggup beli bagi orang,hydrogen fuel vehicles quickly absorb the community if the price reaches the middle and bottom of the road to become a country of clean energy quickly achieve not and motor sky price who can buy for people,Positif,Positif
bukan pesimis sudah banyak negara lebih milih elektrifikasi hidrogen alas banyak youtube tinggal cari tahu sih lebih baik telat coba tidak cuma kan ikut bahagia sih nyata spbu hidrogen deket rumah bahkan biasa ngisi bensin situ hitung lihat progres hidrogen indonesia moga beneran bisa terima masyarakat indonesia,"not pessimistic, many countries prefer hydrogen electrification, many youtube bases, just find out it's better to be late, try it, not only will you be happy, but hydrogen is close to home, even usually fill up with gasoline, there, count see the progress of Indonesian hydrogen, hopefully you can really accept Indonesian people",Positif,Positif
moga hasil,good results,Positif,Positif
wah nikel buat apa dong,wow nickel what are you doing,Positif,Positif
nah kalau tuju kalau pake harus pake energi fosil,well if you go if you have to use fossil energy,Netral,Netral
nikmat para sultan hidrogen mahal,favor of the expensive hydrogen sultans,Negatif,Negatif
wah keren sekali sih tapi maksud mesin kendara kok jadi bingung gua,wow that's so cool but the point of the engine is how confused I am,Positif,Positif
saat indonesia buat hidrogen minta ajar toyota honda hyundai jadi indonesia punya nilai lebih milik hydrogen,when Indonesia for hydrogen asked to teach Toyota Honda Hyundai so Indonesia has more value for hydrogen,Positif,Positif
kendara bukan solusi malah sulit industri otomotif beban lingkung fuel cell hidrogen tunggu tunggu akan datang,"vehicle is not a solution, instead it is difficult for the automotive industry to load the hydrogen fuel cell environment, wait for it to come",Negatif,Negatif
tangki suhu kendara kan panas apa mungkin bahan bakar hidrogen cepat habis campur pertamax ini,hot ride temperature tank is it possible that hydrogen fuel will run out quickly mix this pertamax,Positif,Positif
berapa harga kalau isi hidrogen di jelas,how much if the hydrogen content in the clear,Positif,Positif
terus program capres bbm gratis jadi dong bbm nya,then the free bbm capres program becomes the bbm dong,Positif,Positif
yang kedodoran ngikutin kembang teknologi,which is inordinate according to the development of technology,Netral,Netral
penting jangan manipulasi harga politik uang kalau mau sejahtera rakyat n tengah tengah karn gaji mu tinggi percaya kelola hasil bumi negeri,it is important not to manipulate the price of money politics if you want to prosper the people in the middle because your salary is high believe in managing the country's produce,Positif,Positif
kota jakarta segera,jakarta city soon,Netral,Netral
kendara motor kalo bagus sekali kalo benar bikin irit bikin bebas polusi bagus sekali ini moga bisa cepat sebar seluruh wilayah,"motorbike if it's good, if it's true, make it economical, make it pollution-free, it's good, let's hope it can quickly spread throughout the area",Positif,Positif
bagus tuh tinggal harga kendara sama harga hidrogen berapa tuh,"good, just the price of the vehicle is the same as the price of hydrogen",Positif,Positif
produk lokal apa produk luar hidrogen,what is the local product what is the external product of hydrogen,Netral,Netral
miyak air eg satu menang hadiah ordo diptera nurhsan bin hasanudin mau jadi orang e k yang laku ki we love ew,eg water oil one wins a diptera order prize nurhsan bin hasanudin wants to be a person e k who sells ki we love ew,Positif,Positif
knp orang indonesian senang teknologi orang asing teknologi hasil keringat anak bangsa sendiri tak lirik moga teknologi bbm air jadi alternatif lebih baik,"kNP Indonesians are happy with the technology of foreigners. The technology is the result of the sweat of the nation's own children. No lyrics, let's hope that water bbm technology is a better alternative.",Positif,Positif
spbu hidrogen pertamina kamu tau hei pertamina united state kendara tenaga hidrogen masih sedikit spbu hidrogen lebih baik kamu persiba banyak stasiun isi listrik,spbu hydrogen pertamina you know hey pertamina united state hydrogen power vehicle is still a little spbu hydrogen better you persiba many filling stations,Positif,Positif
hidrogenlebih cepat isi,faster fill hydrogen,Netral,Netral
ah mah moal,ah mah moal,Netral,Netral
alas takut limbah mulai banyak dorong hidrogen rena bisa daur ulang kendara sisa nya di takut jadi limbah lingkung persen ini per kendara,the reason for fear of waste starting to push a lot of hydrogen is that you can recycle the remaining vehicles in fear of being this percent of waste per vehicle,Negatif,Negatif
brand mungkin jual kendara hidrogen nanti indonesia waktu tahun depan pertama kali saya dengar nissan honda toyota kalo roda dua mungkin yamaha suzuki kawasaki,the brand might sell hydrogen vehicles later in Indonesia when next year I first heard of the Nissan Honda Toyota if the two wheels maybe Yamaha Suzuki Kawasaki,Positif,Positif
hidrogen protorype belum di terap scara massal sndiri hadap masalah bom pecah skrg,hydrogen protorype has not been applied in bulk scara self against the problem of bombs breaking now,Netral,Netral
nah niih di tunggu tunggu nongol stasiun isi hidrogen,well here's waiting for the hydrogen filling station nozzle,Netral,Netral
nah niih di tunggu tunggu nongol stasiun isi hidrogen,well here's waiting for the hydrogen filling station nozzle,Netral,Netral
moga lebih banyak soal pribadi lebih percaya hidrogen banyak faktor bersih sebenernya nya bersih orang pikir karena proses buat energi di pake buat isi ulang kendara sebut energi fosil,"may be more personal questions, believe more hydrogen, many factors are actually clean, people think because the process of making energy is used to refill the vehicle, say fossil energy",Positif,Positif
fasilitas pertama bangun negeri miskin,the first facility to build a poor country,Negatif,Negatif
harga hidrogen dimainin sm,hydrogen price played sm,Netral,Netral
klo ahok bicara beres,if ahok talk is done,Netral,Netral
kok dijelasin hidrogenya mana kalo buat dari plt batu baru sama,how come hydrogen is explained where if you make it from the same new stone plt,Positif,Positif
study hidrogen saja gatot,hydrogen study only gatot,Netral,Netral
siapa mau pake hidrogen masalah harga pasti lebih mahal pertamax turbo united state yang make cuma seuprit mahal kendara mahal masuk akal kendara pak ngeri emang toyota maksa perintah buat bikin spbu hidrogen wkwkwk,who wants to use hydrogen the price problem is definitely more expensive firstx turbo united state which makes only seuprit expensive expensive vehicle makes sense the vehicle is horrible sir toyota maksa order to make spbu hydrogen wkwkwk,Negatif,Negatif
bagus,good,Positif,Positif
mudah an busway mulai guna mesin bahan bakar hydrogen,easy an busway start to use hydrogen fuel engine,Positif,Positif
hidrogen indonesia apa sih sp kalau jarang pake,hydrogen indonesia what if it is rarely used,Positif,Positif
lobi toyota hebat,toyota lobby is great,Positif,Positif
tunggu lanjut,wait continue,Netral,Netral
bumana kelola orang tepat moga tuhan kasih sehat mudah yakin doa indonesia depan lebih baik,bumana manage people right may god love healthy easy sure future indonesian prayer is better,Positif,Positif
nikuba hidrogenini apa sistemanaya sama,nikuba hydrogenini apa sistemanaya sama,Netral,Netral
alhamdulillah cepat punya spbu amin,"alhamdulillah, I have a Spbu Amen",Netral,Netral
hidrogen oke lama modif pake hidrogen coba mbl mana,hydrogen okay long modif use hydrogen try mbl mana,Positif,Positif
emang hidrogen bagus saya lihat video video bahas hidrogen kata sih hidrogen sulit jadi ganti bbm,good hydrogen I saw the video video discussing hydrogen the word hydrogen is difficult so replace bbm,Positif,Positif
saya kendara bahan hidrogen ini jawab atas energi hijau,i drive this hydrogen material is responsible for green energy,Netral,Netral
bagus nih seperti kelas kendara beberapa tahun akan dapat kelas hidrogen bbm,good it's like a class of vehicles a few years will get a class of hydrogen bbm,Positif,Positif
emang pribadi kendara umum pakai hidrogen,private cars public vehicles use hydrogen,Netral,Netral
yuk tahu alas otomotif mau indonesia hidrogen kendara hidrogen mesin sama konvensional alias bensin beda sedikit konsep hampir sama kompleksitas dan rumit mesin hidrogen lagi indonesia buat kendara sendiri tuju rakyat indonesia terus beli buat otomotif tuju besar walaupun sisi hidrogen bagus zero emisi beda sistemanaya mesin baterai itu sangat sederhana sederhana indonesia rakyat indonesia depan atau masa depan akan buat bayang indonesia buat motor otomotif masa depan akan auto bangkrut indonesia begitu cerita,QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS,Netral,Netral
yuk tahu alas otomotif mau indonesia hidrogen kendara hidrogen mesin sama konvensional alias bensin beda sedikit konsep hampir sama kompleksitas dan rumit mesin hidrogen lagi indonesia buat kendara sendiri tuju rakyat indonesia terus beli buat otomotif tuju besar walaupun sisi hidrogen bagus zero emisi beda sistemanaya mesin baterai itu sangat sederhana sederhana indonesia rakyat indonesia depan atau masa depan akan buat bayang indonesia buat motor otomotif masa depan akan auto bangkrut indonesia begitu cerita,QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS,Netral,Netral
asal hyundai nexo dapet subsidi langsung ambil dah,origin of hybrid nexo get subsidy directly take it already,Positif,Positif
atur dah,set it up already,Netral,Netral
jadi barah nih hidrogen,so it's a cancer of hydrogen,Netral,Netral
dusta bu,ma'am 's lie,Netral,Netral
baru tepat,just right,Positif,Positif
diesel bensin bakal jadi klasik masa depan,diesel gasoline will be the classic of the future,Positif,Positif
betul lebih cepat isi berbahaan bakar hidrogen ketimbang bahan bakar,is really faster to fill with hydrogen fuel than fuel,Positif,Positif
mantep maju terus cuman harga motor nya mahal jangan lupa semua nya hancur kalo presiden ikut nya pilih malah gagal,"steadily moving forward, just the price of the motorbike is expensive, don't forget that all of it is destroyed if the president joins the vote and even fails",Negatif,Negatif
indonesia minim kendraan ber bahan bkar hidrogen,indonesia has minimal transportation with hydrogen fuel,Negatif,Negatif
kalau yaman pakai air kencing,if you use urine,Netral,Netral
selang maju toyota mirai,toyota mirai forward hose,Netral,Netral
nikmat punya duit karung lain butuh tahun baru jangkau harga nya,the pleasure of having another sack of money needs a new year to reach its price,Positif,Positif
lebih baik telat tidak sama sekali moga kendara hfc adopsi lebih masif negara banding negara maju yang banyak remeh potensi hidrogen lebih fokus kendara,better late not at all let's hope more massive adoption of hfc vehicles compared to developed countries that have a lot of underestimate the potential of hydrogen to focus more on vehicles,Positif,Positif
allhamdulilah moga hidrogen kembang,allhamdulilah may hydrogen blossom,Netral,Netral
keren indonesia bagus pak ahok,cool indonesia nice sir ahok,Positif,Positif
kalo yakin tehnologinya aman ngak mulai sekarang,if you are sure that the technology is safe or not from now on,Positif,Positif
yall are making me hungry fuck,yall are making me hungry fuck,Negatif,Negatif
from saudi arabia,Saudi Arabia,Netral,Netral
halleluyah on l attendait,halleluyah on l attendait,Netral,Netral
pertamina bisa produksi hidrogen sendiri bukan produksi mobil kalau hidrogen beli import akan jadi mahal sekali terus bbm laku,pertamina can produce its own hydrogen instead of car production if hydrogen buy imports will be very expensive and continue to sell,Negatif,Negatif
pertamina laku langkah sangat positif fokus inovasi bidang energi baru baru ebt dorong transisi energi,the behavior of the step is very positive the focus of innovation in the field of new energy is new to encourage the energy transition,Positif,Positif
kembang ekosistem kendara bas hidrogen rupa salah satu upaya penting kurang emisi gas rumah kaca atas isu ubah iklim,the development of the hydrogen bus vehicle ecosystem is one of the important efforts to reduce greenhouse gas emissions on the issue of climate change,Positif,Positif
kolaborasi usaha otomotif kenal toyota putus strategis dapat cepat kembang teknologi kendara bas hidrogen,collaboration of automotive businesses know toyota break up strategically can quickly develop hydrogen bus ride technology,Positif,Positif
toyota sendiri milik komitmen kuat kembang kendara ramah lingkung masuk kendara bahan bakar sel hidrogen,toyota itself belongs to the strong commitment of environmentally friendly vehicle development to enter hydrogen fuel cell vehicles,Positif,Positif
inisiatif macam juga beri dampak positif industri lokal cipta lapang kerja baru dukung tumbuh ekonomi lanjut,"initiatives like this also have a positive impact on the local industry, create new work fields, support further economic growth",Positif,Positif
selalu dukung pertamina,always support pertamina,Netral,Netral
moga semua jalan lancar,let's all go smoothly,Positif,Positif
ayo dukung pertamina,let's support Pertamina,Netral,Netral
pertamina selalu ikan baik,pertamina is always a good fish,Positif,Positif
inovasi luar biasa sih keren,amazing innovation is cool,Positif,Positif
keren deh transisi energi makin depan mata,"cool, the energy transition is getting in front of the eyes",Positif,Positif
kolaborasi sama usaha otomotif kelas dunia toyota tidak main main bakal dapet teknologi canggih serba kini,collaboration with Toyota's world-class automotive business will get all the latest advanced technology,Positif,Positif
nyangka dulu kan lebih familiar sama minyak bumi sekarang malah gebrak keren kayak gin pertamina benar bener bikin bangga deh,guess it used to be more familiar with petroleum now it's even cool like gin pertamina really makes you proud,Positif,Positif
support terus pertamina,continue to support pertamina,Netral,Netral
inovasi sangat hebat,innovation is really great,Positif,Positif
kolaborasi bagus,good collaboration,Positif,Positif
bagus sihh,good hahh,Positif,Positif
bagus betul nih ide,really good idea,Positif,Positif
wahh keren sekali nih inovasi,wow this is so cool innovation,Positif,Positif
bea siswa anak kerja biaya sekolah anak kerja pak,bea students children work school fees children work sir,Netral,Netral
bagus kita alih migas hydro lebih sehat,it's good that we are instead of healthier hydro oil and gas,Positif,Positif
makin keren deh yaa,it's getting cooler,Netral,Netral
tunjuk dedikasi pertamina pimpin ubah positif masa depan transportasi indonesia,show the dedication of Pertamina to lead a positive change in the future of Indonesian transportation,Positif,Positif
rupa wujud nyata komitmen pertamina pimpin transformasi transportasi indonesia tuju masa depan lanjut,the manifestation of Pertamina's commitment to lead Indonesia's transportation transformation towards a further future,Netral,Netral
cermin dedikasi pertamina pimpin transformasi sektor transportasi indonesia,mirror of Pertamina's dedication to lead the transformation of Indonesia's transportation sector,Netral,Netral
tunjuk dedikasi pertamina pimpin transisi tuju masa depan transportasi lebih bersih indonesia,show Pertamina's dedication to leading the transition towards a cleaner transportation future in Indonesia,Netral,Netral
kolaborasi toyota makin tegas komitmen pertamina pimpin transisi tuju masa depan transportasi indonesia,toyota collaboration becomes more assertive with Pertamina's commitment to lead the transition towards Indonesia's transportation future,Positif,Positif
kolaborasi toyota lalu inisiatif hidrogenrefueling energy hsr tunjuk dedikasi pertamina pimpin transisi tuju masa depan transportasi indonesia,collaboration toyota ago hydrogen refueling energy initiative hsr show dedication pertamina pimpin transition towards the future of transportation indonesia,Netral,Netral
tunjuk dedikasi pertamina pimpin transformasi transportasi indonesia,show Pertamina's dedication to lead Indonesia's transportation transformation,Netral,Netral
kolaborasi toyota inisiatif hidrogenrefueling energy hsr tunjuk komitmen pertamina pimpin transformasi transportasi indonesia,collaboration toyota hydrogen refueling energy initiative hsr show Pertamina's commitment to lead Indonesia's transportation transformation,Netral,Netral
inovasi luar biasa sih,amazing innovation anyway,Positif,Positif
makin luar biasa langkah nih pertamina siap sekali kasih opsi agam buat transportasi indo,"the more extraordinary the first step, the more ready you are to give a religious option for indo transportation",Positif,Positif
beneran ngebuktin serius pertamina jadi pimpin ubah masa depan transportasi indo,really want to take Pertamina seriously so lead to change the future of Indo transportation,Negatif,Negatif
bagus sekali nih,Very good,Positif,Positif
jaya selalu pertamina,jaya always first,Positif,Positif
maju jaya selalu,progress always,Netral,Netral
support selalu pertamina,always first support,Positif,Positif
support baik negara,good support for the country,Positif,Positif
upaya bagus pertamina moga jalan sukses,good effort first let's hope for a successful path,Positif,Positif
dukung sepenuh,fully support,Netral,Netral
berita bagus nih,good news here,Positif,Positif
maaf awam hanya pikir baik fosil fuel maupun hidrogenfuel untuk gera mesin saya ubah sporadis ekosistem transportasi fosil fuel hidrogenfuel mungkin lebih baik lebih untung konversi pltdiesel jadi plthidrogen rantai bisnis lebih pasok hidrogenada produksi konsumen net zero emission,sorry layman just think both fossil fuel and hydrogenfuel for my engine alarm change sporadically fossil fuel transportation ecosystem hydrogenfuel may be better more profitable pltdiesel conversion into plthydrogen business chain more supply of hydrogen in net zero emission consumer production,Positif,Positif
sahabat dw kamu pernah dengar kembang mesin bahan bakar hidrogen indonesia kira kira mungkin ya guna indonesia,"dw's friend you've heard of the development of hydrogen fuel engines in Indonesia, I guess maybe it's for Indonesian use",Netral,Netral
hmm hidrogen arti konsumsi o ya kalo semua jadi hidrogen rebut o sm dong,hmm hydrogen means consumption o yes if everything becomes hydrogen grab o sm dong,Netral,Netral
lucu ukur terap tau tekan hidrogen tinggi sekali tangki harus extra tuebel biar safety ujung nya mahal sekali infrastruktur spbu unit kendara paling benar kendara untuk ini,"funny how to apply the hydrogen press is very high, the tank must be extra tuebel so that the safety tip is very expensive, the infrastructure of the spbu unit is the truest vehicle for this",Negatif,Negatif
bensin eropa punya gas alam eropa punya nikel sekarang ganti oalah man jerman akal akal nyata negara punya sumber daya alam gas alam amerika australia tidak gebu gebu ganti bbm di eropa,gasoline europe has natural gas europe has nickel now replace oalah man germany real sense the country has natural resources natural gas america australia is not fluffy grease replace bbm in europe,Positif,Positif
bukankah negara nenek moyang nya sendiri tidak laku gagal buang indonesia tempat sampah negara ini,didn't his own ancestral country fail to dispose of this country's garbage,Positif,Positif
harga lebih mahal lebih aman dari resiko bakar lebih tahan lama lebih awet,more expensive prices safer from the risk of burning longer lasting longer,Netral,Netral
german bisa sejajar energy baru skrng mau andal hidrogen telat ah,german can align new energy now want to be reliable hydrogen late ah,Negatif,Negatif
mending hidrogen lebih murah timbang listrik,mending hydrogen cheaper electric weighing,Netral,Netral
jadi tabrak ledak hidrogen nya aman ketika bakar apakah aman,so the hydrogen blast collision is safe when burning is it safe,Positif,Positif
benar hidrogenfuel lebih efektif isi nya cepat ramah lingkung segi harga jauh lebih mahal dari bahkan bbm yang bikin sulit adopsi aman nya juga belum banyak uji banding bbm ebv,true hydrogenfuel is more effective the contents are fast friendly the environment in terms of price is much more expensive than even bbm which makes it difficult for safe adoption is also not much bbm ebv appeal,Positif,Positif
ayo cepat tangan lebih hidrogenlebih efisien untuk perintah segera buat luncur kendara bahan hidrogen semangat,quick hand more hydrogenmore efficient for immediate command for vehicle glide spirit hydrogen material,Positif,Positif
hidrogen konsep mirip gerak roda motor beda sumber energi listrik kalau kendara sedang hidrogen asal fuel cell fuel cell perangkat elektro kimia cara langsung ubah energi kimia jadi energi produksi sedia bahan bakar hidrogen oksigen luar ini beda energi internal,hydrogen concept similar to motor wheel motion different sources of electrical energy if the vehicle is hydrogen origin fuel cell fuel cell electro chemical device how to directly convert chemical energy into production energy available hydrogen oxygen fuel outside this difference in internal energy,Positif,Positif
bukan ganti damping kendara,not a vehicle damping dressing,Netral,Netral
biasa hidrogen tuh mahal biaya,ordinary hydrogen is expensive,Negatif,Negatif
untuk halang rencana industri kendara indonesia,to prevent the Indonesian vehicle industry plan,Netral,Netral
negara gurun pasir luas milik peluang produsen green energy,vast desert country belonging to green energy producer opportunities,Negatif,Negatif
indonesia ribut sama,indonesia the same storm,Netral,Netral
endingnya seperti bahan gas cuma pakai bagi angkot taksi bus trans jakarta lihat ketika bus trans jakarta isi gas spbg daerah cililitan bikin macet tidak semua lokasi spbg investasi mahal,the ending is like gas material only used for angkot taxis trans jakarta buses see when trans jakarta buses fill gas spbg cililitan areas make traffic jams not all locations expensive investment spbg,Negatif,Negatif
indonesia tetap untung teknologi karena bahan baku semua di indonesia,indonesia still benefits from technology because raw materials are all in Indonesia,Negatif,Negatif
